file,meanB,meanG,meanR,standar_devB,standar_devG,standar_devR,skewness_B,skewness_G,skewness_R,class
nonsegar (79).jpg,85.0079345703125,27.030914306640625,21.507965087890625,11.390101123138825,17.34320160644784,14.179167648347805,15.733516853384923,23.306703847433447,20.47000619989777,2
nonsegar (8).jpg,128.53298950195312,76.36727905273438,51.967010498046875,8.24702971348501,13.000645309395368,15.116751788726956,8.134201129528341,15.478268372623663,16.123934467031365,2
nonsegar (80).jpg,92.85528564453125,31.886154174804688,26.407669067382812,13.458236820688196,14.201693708553291,11.387394320604892,13.322146505822635,18.22449388422071,17.100145417753602,2
nonsegar (81).jpg,119.36712646484375,43.4918212890625,31.328994750976562,18.398030672110977,22.477644471335985,17.448508905214602,11.46352196170297,24.56764322823164,23.028274808642774,2
nonsegar (82).jpg,100.59068298339844,30.710540771484375,21.98211669921875,12.143136573980154,16.513666658242755,14.879248794529456,11.449240560634959,20.323995883644116,19.937086860476747,2
nonsegar (83).jpg,108.78338623046875,37.03636169433594,28.987686157226562,11.422380604329465,17.399887308252325,15.502464375511485,14.713543079366861,21.44038293122508,21.514336762127066,2
nonsegar (84).jpg,104.66105651855469,30.722320556640625,22.819534301757812,10.211523307458517,15.783709000432356,13.85624493008196,13.707382099358016,20.632887501487925,20.10980491717299,2
nonsegar (85).jpg,115.6954345703125,48.881805419921875,38.58598327636719,12.943616738156058,22.919532483238495,20.061250160426994,18.397345069253284,28.227715127244476,28.203497217399953,2
nonsegar (86).jpg,158.6107940673828,93.60929870605469,61.452972412109375,7.727594806976143,25.314408171400046,32.29346395233473,9.863351362255484,28.193079383972012,36.48419260174404,2
nonsegar (87).jpg,108.91098022460938,32.52178955078125,26.136672973632812,10.012907211751834,20.895944245447158,16.74435048047331,16.40449197314715,26.88520653742368,25.934305863838073,2
nonsegar (88).jpg,105.39411926269531,33.6092529296875,24.994140625,11.316902639999066,17.517772151192762,16.166576044411997,15.9671045564441,24.021089089729067,24.0625083333102,2
nonsegar (89).jpg,114.85368347167969,46.67720031738281,37.387115478515625,13.100408259900886,22.460398829381084,20.416324531555087,18.818896313515573,29.217082613519725,29.091773998157528,2
nonsegar (9).jpg,105.42068481445312,35.155181884765625,26.330764770507812,12.202610899453077,17.81523579261056,15.730237890613793,16.88051132955053,25.575425196851352,24.919894541169654,2
nonsegar (90).jpg,90.71014404296875,32.13899230957031,26.357315063476562,13.062459054539358,14.853657733259698,12.777518552690818,14.447431836771877,20.57076576363009,19.3634975669652,2
nonsegar (91).jpg,114.963623046875,52.962432861328125,37.86613464355469,15.339647927623803,23.917558060620213,22.437136370071723,21.64853670295291,32.19141921801012,33.767012577379056,2
nonsegar (92).jpg,96.21221923828125,40.620452880859375,32.30805969238281,14.181329781162654,17.368678042480276,15.36948579128867,17.16224136267894,24.599443043394874,24.428330935274623,2
nonsegar (93).jpg,148.7648468017578,90.36506652832031,60.1651611328125,10.168929175478386,27.400137390936653,34.99142749891087,12.613589235671592,30.422027980443687,38.70028888736888,2
nonsegar (94).jpg,97.72906494140625,33.057464599609375,23.447418212890625,9.528862147335905,14.13653989049835,12.866322263312028,10.525158764858828,17.765239016313682,17.635760500893554,2
nonsegar (95).jpg,136.5123748779297,73.59675598144531,56.98722839355469,11.014313117231936,20.843253100307834,16.252964305839384,9.088876720080552,16.779715203795124,15.866896815904889,2
nonsegar (96).jpg,129.35328674316406,56.74598693847656,49.74882507324219,9.267990640545412,17.8077169618918,15.240465734344305,9.420389338856783,18.22328887008407,16.992639148341087,2
nonsegar (97).jpg,123.81549072265625,46.31074523925781,39.87596130371094,9.034359017108606,20.494765445422402,19.11267597900882,9.162363115497698,18.745533732050333,17.127667751998146,2
nonsegar (98).jpg,142.9084930419922,86.4639892578125,59.34782409667969,6.774667646157557,12.592261450640661,16.34498062301434,5.415160307703268,13.247978356773379,10.75671636521875,2
